company_name,detail
Interiors and More Limited,NSE_SME name-matched 'Interiors & More Limited' (symbol INM) but dates disagree: db='2024-02-15' vs nse_sme='23-Feb-24'
Atmastco Limited,NSE_SME name-matched 'Atmastco Limited' (symbol ATMASTCO) but dates disagree: db='2024-02-15' vs nse_sme='23-Feb-24'
Esconet Technologies Limited,NSE_SME name-matched 'Esconet Technologies Limited' (symbol ESCONET) but dates disagree: db='2024-02-15' vs nse_sme='23-Feb-24'
Baweja Studios Limited,NSE_SME name-matched 'Baweja Studios Limited' (symbol BAWEJA) but dates disagree: db='2024-02-15' vs nse_sme='06-Feb-24'
Megatherm Induction Limited,NSE_SME name-matched 'Megatherm Induction Limited' (symbol MEGATHERM) but dates disagree: db='2024-02-15' vs nse_sme='05-Feb-24'
DelaPlex Limited,NSE_SME name-matched 'Delaplex Limited' (symbol DELAPLEX) but dates disagree: db='2024-02-15' vs nse_sme='02-Feb-24'
Docmode Health Technologies Limited,NSE_SME name-matched 'Docmode Health Technologies Limited' (symbol DHTL) but dates disagree: db='2024-02-15' vs nse_sme='02-Feb-24'
Konstelec Engineers Limited,NSE_SME name-matched 'Konstelec Engineers Limited' (symbol KONSTELEC) but dates disagree: db='2024-01-15' vs nse_sme='30-Jan-24'
Maxposure Limited,NSE_SME name-matched 'Maxposure Limited' (symbol MAXPOSURE) but dates disagree: db='2024-01-15' vs nse_sme='23-Jan-24'
Kaushalya Logistics Limited,NSE_SME name-matched 'Kaushalya Logistics Limited' (symbol KLL) but dates disagree: db='2024-01-15' vs nse_sme='08-Jan-24'
Kay Cee Energy & Infra Limited,NSE_SME name-matched 'Kay Cee Energy & Infra Limited' (symbol KCEIL) but dates disagree: db='2024-01-15' vs nse_sme='05-Jan-24'
HRH Next Services Limited,NSE_SME name-matched 'HRH Next Services Limited' (symbol HRHNEXT) but dates disagree: db='2024-01-15' vs nse_sme='03-Jan-24'
Akanksha Power and Infrastructure Limited,NSE_SME name-matched 'Akanksha Power and Infrastructure Limited' (symbol AKANKSHA) but dates disagree: db='2024-01-15' vs nse_sme='03-Jan-24'
Sameera Agro And Infra Limited,NSE_SME name-matched 'Sameera Agro And Infra Limited' (symbol SAIFL) but dates disagree: db='2024-01-15' vs nse_sme='01-Jan-24'
Trident Techlabs Limited,NSE_SME name-matched 'Trident Techlabs Limited' (symbol TECHLABS) but dates disagree: db='2023-12-15' vs nse_sme='29-Dec-23'
Supreme Power Equipment Limited,NSE_SME name-matched 'Supreme Power Equipment Limited' (symbol SUPREMEPWR) but dates disagree: db='2023-12-15' vs nse_sme='29-Dec-23'
Indifra Limited,NSE_SME name-matched 'Indifra Limited' (symbol INDIFRA) but dates disagree: db='2023-12-15' vs nse_sme='29-Dec-23'
Electro Force (India) Limited,NSE_SME name-matched 'Electro Force (India) Limited' (symbol EFORCE) but dates disagree: db='2023-12-15' vs nse_sme='27-Dec-23'
Shree OSFM E-Mobility Limited,NSE_SME name-matched 'Shree OSFM E-Mobility Limited' (symbol SHREEOSFM) but dates disagree: db='2023-12-15' vs nse_sme='21-Dec-23'
SJ Logistics (India) Limited,NSE_SME name-matched 'S J Logistics (India) Limited' (symbol SJLOGISTIC) but dates disagree: db='2023-12-15' vs nse_sme='19-Dec-23'
Sheetal Universal Limited,NSE_SME name-matched 'Sheetal Universal Limited' (symbol SHEETAL) but dates disagree: db='2023-12-15' vs nse_sme='11-Dec-23'
Net Avenue Technologies Limited,NSE_SME name-matched 'Net Avenue Technologies Limited' (symbol CBAZAAR) but dates disagree: db='2023-12-15' vs nse_sme='08-Dec-23'
Marinetrans India Limited,NSE_SME name-matched 'Marinetrans India Limited' (symbol MARINETRAN) but dates disagree: db='2023-12-15' vs nse_sme='08-Dec-23'
Rockingdeals Circular Economy Limited,NSE_SME name-matched 'Rockingdeals Circular Economy Limited' (symbol ROCKINGDCE) but dates disagree: db='2023-11-15' vs nse_sme='30-Nov-23'
Sunrest Lifescience Limited,NSE_SME name-matched 'Sunrest Lifescience Limited-RE' (symbol SUN-RE) but dates disagree: db='2023-11-15' vs nse_sme='18-Aug-26'
Sunrest Lifescience Limited,NSE_SME name-matched 'Sunrest Lifescience Limited' (symbol SUNREST) but dates disagree: db='2023-11-15' vs nse_sme='20-Nov-23'
Micropro Software Solutions Limited,NSE_SME name-matched 'Micropro Software Solutions Limited' (symbol MICROPRO) but dates disagree: db='2023-11-15' vs nse_sme='10-Nov-23'
Maitreya Medicare Limited,NSE_SME name-matched 'Maitreya Medicare Limited' (symbol MAITREYA) but dates disagree: db='2023-11-15' vs nse_sme='07-Nov-23'
Transteel Seating Technologies Limited,NSE_SME name-matched 'Transteel Seating Technologies Limited' (symbol TRANSTEEL) but dates disagree: db='2023-11-15' vs nse_sme='06-Nov-23'
Paragon Fine And Speciality Chemicals Limited,NSE_SME name-matched 'Paragon Fine and Speciality Chemical Limited' (symbol PARAGON) but dates disagree: db='2023-11-15' vs nse_sme='03-Nov-23'
Shanthala FMCG Products Limited,NSE_SME name-matched 'Shanthala FMCG Products Limited' (symbol SHANTHALA) but dates disagree: db='2023-11-15' vs nse_sme='03-Nov-23'
